YIL,AY,ORTALAMA_TUKETIM_MEAN,ABONE_ADEDI_SUM,KAYIT_SAYISI,ORT_DOLULUK,TOPLAM_SU,BARAJ_SAYISI,TUKETIM
2021,5,170.5,7.0,1.0,67.79166666666667,440658000.0,6.0,115.12
2024,8,2959.0,235.0,1.0,32.655,257371000.0,6.0,180.14
2021,6,278.0,7.0,1.0,61.6,415893000.0,6.0,140.95
2023,1,170.5,7.0,1.0,36.13833333333333,284679000.0,6.0,213.02
2020,11,170.5,7.0,1.0,24.118333333333336,243861000.0,6.0,109.16
2024,5,170.5,7.0,1.0,47.67666666666667,331440000.0,6.0,76.72
2021,2,98.0,5.0,1.0,63.975,381253000.0,6.0,177.97
2024,1,22.0,2.0,2.0,35.190000000000005,280086000.0,6.0,136.3
2023,12,170.5,7.0,1.0,26.203333333333333,247671000.0,6.0,128.49
2022,10,170.5,7.0,1.0,40.355,303945000.0,6.0,117.57
2023,9,36.0,7.0,2.0,29.215,272137000.0,6.0,184.14
2021,4,170.5,7.0,1.0,71.15166666666666,454646000.0,6.0,91.78
2022,2,9.0,1.0,1.0,66.33666666666666,380070000.0,6.0,138.29
2024,5,40.0,9.0,3.0,47.67666666666667,331440000.0,6.0,87.71
2023,11,13.0,1.0,1.0,22.915000000000003,229694000.0,6.0,99.32
2023,2,219.33333333333331,10.0,3.0,39.745,304390000.0,6.0,173.3
2023,11,170.5,7.0,1.0,22.915000000000003,229694000.0,6.0,203.28
2023,8,3491.0,338.0,1.0,35.550000000000004,289801000.0,6.0,128.83
2020,2,170.5,7.0,1.0,44.46666666666667,320996000.0,6.0,131.46
2022,12,21.0,1.0,1.0,36.53833333333333,288391000.0,6.0,109.97
2021,4,1461.5,10.0,2.0,71.15166666666666,454646000.0,6.0,154.44
2021,12,170.5,7.0,1.0,44.43,313786000.0,6.0,115.31
2022,3,1516.0,9.0,2.0,71.255,424798000.0,6.0,63.63
2024,6,42.0,1.0,1.0,44.92,314563000.0,6.0,142.05
2020,12,170.5,7.0,1.0,33.15833333333333,251570000.0,6.0,226.76
2020,2,15.0,1.0,1.0,44.46666666666667,320996000.0,6.0,95.77
2023,6,170.5,7.0,1.0,44.945,320996000.0,6.0,85.18
2023,6,12139.0,2582.0,2.0,44.945,320996000.0,6.0,285.14
2022,12,170.5,7.0,1.0,36.53833333333333,288391000.0,6.0,183.29
2023,8,227.5,4.0,2.0,35.550000000000004,289801000.0,6.0,75.34
2024,5,27.0,1.0,1.0,47.67666666666667,331440000.0,6.0,208.33
2020,10,79.0,2.0,2.0,25.903333333333336,258732000.0,6.0,141.82
2024,8,377.0,12.0,1.0,32.655,257371000.0,6.0,117.0
2024,1,170.5,7.0,1.0,35.190000000000005,280086000.0,6.0,95.68
2020,11,170.5,7.0,1.0,24.118333333333336,243861000.0,6.0,53.87
2023,8,31.0,5.0,1.0,35.550000000000004,289801000.0,6.0,69.55
2022,5,170.5,7.0,1.0,65.71,400103000.0,6.0,207.06
2022,5,170.5,7.0,1.0,65.71,400103000.0,6.0,108.81
2021,2,170.5,7.0,1.0,63.975,381253000.0,6.0,120.99
2023,1,2718.0,149.0,1.0,36.13833333333333,284679000.0,6.0,125.45
2023,4,170.5,7.0,1.0,46.845,329634000.0,6.0,172.63
2021,2,170.5,7.0,1.0,63.975,381253000.0,6.0,185.08
2024,7,170.5,7.0,1.0,39.32833333333333,289223000.0,6.0,153.46
2020,3,170.5,7.0,1.0,45.97083333333333,763761000.0,12.0,138.4
2022,6,1771.0,210.0,1.0,59.61666666666667,373647000.0,6.0,66.84
2020,6,415.0,16.0,1.0,43.65833333333334,337939000.0,6.0,159.66
2022,10,170.5,7.0,1.0,40.355,303945000.0,6.0,115.63
2024,6,170.5,7.0,1.0,44.92,314563000.0,6.0,64.48
2021,7,170.5,7.0,1.0,53.97166666666666,382565000.0,6.0,98.2
2023,4,170.5,7.0,1.0,46.845,329634000.0,6.0,117.85
2021,4,626.0,50.0,1.0,71.15166666666666,454646000.0,6.0,149.83
2023,5,170.5,7.0,1.0,46.355,326783000.0,6.0,116.58
2021,5,170.5,7.0,1.0,67.79166666666667,440658000.0,6.0,103.43
2020,9,170.5,7.0,1.0,28.296666666666667,275243000.0,6.0,119.89
2022,3,170.5,7.0,1.0,71.255,424798000.0,6.0,124.08
2021,8,170.5,7.0,1.0,48.65833333333333,348099000.0,6.0,81.31
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,129.56
2021,11,170.5,7.0,1.0,36.111666666666665,299884000.0,6.0,79.98
2021,6,31991.0,4357.0,2.0,61.6,415893000.0,6.0,144.44
2023,2,311.6666666666667,62.0,3.0,39.745,304390000.0,6.0,137.75
2022,4,1559.0,32.0,1.0,69.625,417610000.0,6.0,234.21
2021,6,170.5,7.0,1.0,61.6,415893000.0,6.0,105.87
2022,11,1025.0,57.0,1.0,35.45333333333333,290429000.0,6.0,175.47
2024,1,170.5,7.0,1.0,35.190000000000005,280086000.0,6.0,116.0
2024,4,170.5,7.0,1.0,49.43333333333334,341213000.0,6.0,85.38
2021,3,317.5,70.0,2.0,69.53833333333334,440241000.0,6.0,164.95
2020,1,170.5,7.0,1.0,43.28583333333333,750576000.0,12.0,126.42
2023,1,170.5,7.0,1.0,36.13833333333333,284679000.0,6.0,147.56
2021,1,46.0,1.0,1.0,42.87166666666667,270220000.0,6.0,94.74
2020,7,552.0,16.0,2.0,38.525,316270000.0,6.0,161.57
2021,8,1830.5,306.0,2.0,48.65833333333333,348099000.0,6.0,74.67
2022,7,88.0,1.0,1.0,52.675,353454000.0,6.0,111.03
2020,4,170.5,7.0,1.0,47.95166666666666,372131000.0,6.0,127.18
2022,8,51.0,3.0,2.0,46.225,334604000.0,6.0,151.81
2023,11,72.0,13.0,2.0,22.915000000000003,229694000.0,6.0,76.93
2021,12,93.0,3.0,1.0,44.43,313786000.0,6.0,106.1
2024,4,3494.5,117.0,2.0,49.43333333333334,341213000.0,6.0,109.76
2022,5,170.5,7.0,1.0,65.71,400103000.0,6.0,192.37
2022,11,263.0,1.0,1.0,35.45333333333333,290429000.0,6.0,138.88
2021,4,170.5,7.0,1.0,71.15166666666666,454646000.0,6.0,89.12
2024,4,212.5,23.0,2.0,49.43333333333334,341213000.0,6.0,75.77
2023,6,170.5,7.0,1.0,44.945,320996000.0,6.0,68.46
2024,7,170.5,7.0,1.0,39.32833333333333,289223000.0,6.0,88.52
2024,6,1942.5,15.0,2.0,44.92,314563000.0,6.0,114.3
2022,7,3191.5,6.0,2.0,52.675,353454000.0,6.0,158.87
2024,1,255.0,88.0,2.0,35.190000000000005,280086000.0,6.0,179.54
2024,1,69.0,6.0,1.0,35.190000000000005,280086000.0,6.0,109.66
2021,4,170.5,7.0,1.0,71.15166666666666,454646000.0,6.0,87.05
2020,10,1979.0,195.0,2.0,25.903333333333336,258732000.0,6.0,198.66
2020,7,170.5,7.0,1.0,38.525,316270000.0,6.0,134.62
2020,6,415.0,16.0,1.0,43.65833333333334,337939000.0,6.0,117.69
2023,11,1185.5,5.0,2.0,22.915000000000003,229694000.0,6.0,85.61
2021,10,170.5,7.0,1.0,40.41833333333333,310750000.0,6.0,128.01
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,116.71
2021,4,170.0,1.0,1.0,71.15166666666666,454646000.0,6.0,27.33
2020,2,170.5,7.0,1.0,44.46666666666667,320996000.0,6.0,65.95
